,puzzle,difficulty,results,solution
0,.95......2...1...44.......31...4.6.5...6357..7..8.......93..8......6......1...9.6,1,"(3, 0)","[3, 9, 5, 4, 8, 2, 1, 6, 7, 2, 6, 8, 7, 1, 3, 5, 9, 4, 4, 1, 7, 5, 9, 6, 2, 8, 3, 1, 8, 3, 9, 4, 7, 6, 2, 5, 9, 4, 2, 6, 3, 5, 7, 1, 8, 7, 5, 6, 8, 2, 1, 4, 3, 9, 6, 2, 9, 3, 5, 4, 8, 7, 1, 8, 7, 4, 1, 6, 9, 3, 5, 2, 5, 3, 1, 2, 7, 8, 9, 4, 6]"
1,.5..63....9....8.......2.1.4....1.2..3..........3....77.2...4....39.5...5...8.26.,1,"(2, 0)","[8, 5, 1, 4, 6, 3, 9, 7, 2, 2, 9, 4, 5, 1, 7, 8, 3, 6, 3, 6, 7, 8, 9, 2, 5, 1, 4, 4, 7, 8, 6, 5, 1, 3, 2, 9, 1, 3, 5, 2, 7, 9, 6, 4, 8, 9, 2, 6, 3, 4, 8, 1, 5, 7, 7, 8, 2, 1, 3, 6, 4, 9, 5, 6, 4, 3, 9, 2, 5, 7, 8, 1, 5, 1, 9, 7, 8, 4, 2, 6, 3]"
2,...1...28682....5......3.....8..2..9..1...3......4....5.4..8...2.9..4.6..1...5.42,1,"(3, 0)","[3, 9, 7, 1, 5, 6, 4, 2, 8, 6, 8, 2, 4, 9, 7, 1, 5, 3, 1, 4, 5, 2, 8, 3, 6, 9, 7, 4, 6, 8, 3, 7, 2, 5, 1, 9, 7, 2, 1, 5, 6, 9, 3, 8, 4, 9, 5, 3, 8, 4, 1, 2, 7, 6, 5, 7, 4, 6, 2, 8, 9, 3, 1, 2, 3, 9, 7, 1, 4, 8, 6, 5, 8, 1, 6, 9, 3, 5, 7, 4, 2]"
3,....8....5..74.9..7......4326.3.5..7...2...........1....49.2.751.3..4....2.......,1,"(4, 0)","[4, 9, 2, 1, 8, 3, 7, 5, 6, 5, 3, 8, 7, 4, 6, 9, 2, 1, 7, 1, 6, 5, 2, 9, 8, 4, 3, 2, 6, 1, 3, 9, 5, 4, 8, 7, 8, 4, 7, 2, 6, 1, 5, 3, 9, 3, 5, 9, 4, 7, 8, 1, 6, 2, 6, 8, 4, 9, 1, 2, 3, 7, 5, 1, 7, 3, 6, 5, 4, 2, 9, 8, 9, 2, 5, 8, 3, 7, 6, 1, 4]"
4,.2....39.49..76......2.1...3....7...9....4..3.68...91.........9.4..6.7.....4.35..,1,"(3, 0)","[6, 2, 7, 8, 4, 5, 3, 9, 1, 4, 9, 1, 3, 7, 6, 2, 5, 8, 5, 8, 3, 2, 9, 1, 4, 6, 7, 3, 1, 4, 9, 8, 7, 6, 2, 5, 9, 5, 2, 6, 1, 4, 8, 7, 3, 7, 6, 8, 5, 3, 2, 9, 1, 4, 2, 3, 6, 7, 5, 8, 1, 4, 9, 8, 4, 5, 1, 6, 9, 7, 3, 2, 1, 7, 9, 4, 2, 3, 5, 8, 6]"
5,..1..........1.46.625.3.7...48...5.7.6...9.2.3...2....7.......9...8....5.5...2..6,1,"(2, 0)","[4, 8, 1, 2, 7, 6, 9, 5, 3, 9, 7, 3, 5, 1, 8, 4, 6, 2, 6, 2, 5, 9, 3, 4, 7, 1, 8, 2, 4, 8, 1, 6, 3, 5, 9, 7, 5, 6, 7, 4, 8, 9, 3, 2, 1, 3, 1, 9, 7, 2, 5, 6, 8, 4, 7, 3, 2, 6, 5, 1, 8, 4, 9, 1, 9, 6, 8, 4, 7, 2, 3, 5, 8, 5, 4, 3, 9, 2, 1, 7, 6]"
6,...4.3.7......2..1...1..86.3.6..9.....7..4.5........327.....1.6.9...6...2...8...5,1,"(2, 0)","[8, 1, 5, 4, 6, 3, 2, 7, 9, 6, 7, 3, 8, 9, 2, 5, 4, 1, 9, 4, 2, 1, 5, 7, 8, 6, 3, 3, 8, 6, 5, 2, 9, 4, 1, 7, 1, 2, 7, 6, 3, 4, 9, 5, 8, 4, 5, 9, 7, 1, 8, 6, 3, 2, 7, 3, 8, 9, 4, 5, 1, 2, 6, 5, 9, 1, 2, 7, 6, 3, 8, 4, 2, 6, 4, 3, 8, 1, 7, 9, 5]"
7,...9......3...8.6..724...835......36...........78.4..1..8.7..........3....12..95.,1,"(3, 0)","[8, 1, 6, 9, 2, 3, 4, 7, 5, 4, 3, 5, 7, 1, 8, 2, 6, 9, 9, 7, 2, 4, 6, 5, 1, 8, 3, 5, 8, 4, 1, 9, 2, 7, 3, 6, 1, 9, 3, 6, 5, 7, 8, 4, 2, 6, 2, 7, 8, 3, 4, 5, 9, 1, 2, 5, 8, 3, 7, 9, 6, 1, 4, 7, 6, 9, 5, 4, 1, 3, 2, 8, 3, 4, 1, 2, 8, 6, 9, 5, 7]"
8,..3...9.....6.8..3682.9.1..57.....2...9.....7.6...1.5.8..2.....1.....79..9.4....6,1,"(3, 0)","[7, 4, 3, 1, 5, 2, 9, 6, 8, 9, 1, 5, 6, 4, 8, 2, 7, 3, 6, 8, 2, 3, 9, 7, 1, 4, 5, 5, 7, 1, 9, 3, 6, 8, 2, 4, 3, 2, 9, 5, 8, 4, 6, 1, 7, 4, 6, 8, 7, 2, 1, 3, 5, 9, 8, 5, 6, 2, 7, 9, 4, 3, 1, 1, 3, 4, 8, 6, 5, 7, 9, 2, 2, 9, 7, 4, 1, 3, 5, 8, 6]"
9,....8....9..5...748..7.....4..6..9.....8..51....1....7..7..1...3..2..1...14.36...,1,"(2, 0)","[1, 7, 5, 3, 8, 4, 2, 6, 9, 9, 6, 3, 5, 1, 2, 8, 7, 4, 8, 4, 2, 7, 6, 9, 3, 5, 1, 4, 5, 1, 6, 2, 7, 9, 3, 8, 7, 2, 9, 8, 4, 3, 5, 1, 6, 6, 3, 8, 1, 9, 5, 4, 2, 7, 2, 8, 7, 4, 5, 1, 6, 9, 3, 3, 9, 6, 2, 7, 8, 1, 4, 5, 5, 1, 4, 9, 3, 6, 7, 8, 2]"
